Id,IdList1,Date,Operator,DescriptionWork,SematId,UserId,BreakFastTime,LunchTime,TotalTime,SpentTime,DateStart,DateEnd
42413,2674,2026-08-11,7050,تخلیه و تمیز کاری . پولیش کاری میکا و کونیک کردن ارمکیچر ,69,29,00:30:00.000000,00:00:00.000000,02:00:00.000000,01:30:00.000000,08:30:00.000000,10:30:00.000000
42414,2679,2026-08-11,2030,دمونتاژ الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,02:00:00.000000,02:00:00.000000,17:30:00.000000,19:30:00.000000
42415,2660,2026-08-17,7049,تخلیه کویل های ژنراتور به همراه آقای مرادی ,69,29,00:30:00.000000,00:00:00.000000,06:00:00.000000,05:30:00.000000,07:30:00.000000,13:30:00.000000
42416,2675,2026-08-11,8051,تمیز کاری و پلیسه گیری و رنگ امیزی ,69,29,00:30:00.000000,00:00:00.000000,07:30:00.000000,07:00:00.000000,07:30:00.000000,15:00:00.000000
42417,2653,2026-08-12,2033,پلیسه گیری و تروق هسته تست فوکو,69,29,00:30:00.000000,00:00:00.000000,03:15:00.000000,02:45:00.000000,09:15:00.000000,12:30:00.000000
42418,2660,2026-08-12,2033,جابجایی و تخلیه کویل با همکاری اقایان ناظری و مرادی,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,12:30:00.000000,14:00:00.000000
42419,2679,2026-08-12,2033,جابجایی و شستشو و کوره گذاری ,69,29,00:00:00.000000,00:00:00.000000,00:40:00.000000,00:40:00.000000,14:30:00.000000,15:10:00.000000
42420,2679,2026-08-12,2039,در اوردن روتور و جابجایی و شستشو ,69,29,00:30:00.000000,00:00:00.000000,01:45:00.000000,01:15:00.000000,09:15:00.000000,11:00:00.000000
42421,2660,2026-08-12,2039,تخلیه ژنراتور و در اوردن از داخل کوره ,69,29,00:00:00.000000,00:00:00.000000,02:30:00.000000,02:30:00.000000,11:00:00.000000,13:30:00.000000
42422,2675,2026-08-12,3047,گرفتن نقاط تیز و کوبیدن هسته و رنگ امیزی اخرا و گذاشتن عایق داخل شیار ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,13:00:00.000000,14:00:00.000000
42423,2679,2026-08-12,7050,شستشو استاتور و روتور ,69,29,00:30:00.000000,00:00:00.000000,03:30:00.000000,03:00:00.000000,09:30:00.000000,13:00:00.000000
42424,2651,2026-08-11,7050,تمیز کاری الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,13:00:00.000000,14:00:00.000000
42425,2660,2026-08-12,2030,در اوردن از گوره و تخلیه 10 عدد کویل با همکاری اقای مرادی ,69,29,00:00:00.000000,00:00:00.000000,03:00:00.000000,03:00:00.000000,10:30:00.000000,13:30:00.000000
42426,2675,2026-08-14,3047,برش عایق پیشانی و تا کردن مایلر و جای گذاری 8 عدد کلاف ,69,29,00:30:00.000000,00:00:00.000000,05:40:00.000000,05:10:00.000000,07:40:00.000000,13:20:00.000000
42427,2675,2026-08-14,2033,جای گذاری کلاف الکتروموتور و برش عایق و تا کردن مایلر 8 عدد ,69,29,00:30:00.000000,00:00:00.000000,05:55:00.000000,05:25:00.000000,07:35:00.000000,13:30:00.000000
42428,2667,2026-08-14,2033,چرخاندن رزین کاری و رنگ امیزی ,69,29,00:00:00.000000,00:00:00.000000,02:20:00.000000,02:20:00.000000,07:40:00.000000,10:00:00.000000
42429,2675,2026-08-14,2033,پیچیدن کلاف 12 عددو جایگذاری دو عدد ,69,29,00:00:00.000000,00:00:00.000000,01:55:00.000000,01:55:00.000000,10:30:00.000000,12:25:00.000000
42430,2675,2026-08-13,3047,پیچیدن 12 عدد کلاف وجای گذاری دو عدد کلاف ,69,29,00:30:00.000000,00:00:00.000000,04:20:00.000000,03:50:00.000000,08:10:00.000000,12:30:00.000000
42431,2582,2026-08-15,2043,پلیسه گبری و رفع اتصال کویل الستوم 1عدد و باز کردن نوار پنبه 3 عدد ,69,29,00:30:00.000000,00:00:00.000000,04:30:00.000000,04:00:00.000000,09:30:00.000000,14:00:00.000000
42432,2586,2026-08-15,2043,پلیسه گیری و عایق بندی رینگ ,69,29,00:00:00.000000,00:00:00.000000,03:00:00.000000,03:00:00.000000,14:30:00.000000,17:30:00.000000
42433,2582,2026-08-15,2041,پلیسه گیری و رفع اتصال ک.یل الستوم 2.5 عدد بازپیچی 3 عدد کویل الستوم ,69,29,00:30:00.000000,00:30:00.000000,07:50:00.000000,06:50:00.000000,09:30:00.000000,17:20:00.000000
42434,2582,2026-08-15,8052,پلیسه گیری و رفع اتصال 1.5 عدد ک.وبل ,69,29,00:30:00.000000,00:30:00.000000,06:10:00.000000,05:10:00.000000,08:50:00.000000,15:00:00.000000
42435,2674,2026-08-15,2034,در اوردن بلبرینگها ,69,29,00:00:00.000000,00:00:00.000000,02:00:00.000000,02:00:00.000000,11:00:00.000000,13:00:00.000000
42436,2675,2026-08-15,2034,در اوردن بیرینگها و فولی ,69,29,00:00:00.000000,00:30:00.000000,04:30:00.000000,04:00:00.000000,13:00:00.000000,17:30:00.000000
42437,2667,2026-08-15,2034,کوره گذاری الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,00:30:00.000000,00:30:00.000000,17:30:00.000000,18:00:00.000000
42438,2586,2026-08-15,2039,ساخت رینگ و بستن سر سیم و ساخت سیم خروجی ,69,29,00:30:00.000000,00:00:00.000000,01:10:00.000000,00:40:00.000000,09:50:00.000000,11:00:00.000000
42439,2675,2026-08-15,3047,جای گذاری 2 عدد کلاف نخ بندی جوشکاری سر بندی وارنیش کاری و گرفتن تست ,69,29,00:30:00.000000,00:30:00.000000,09:45:00.000000,08:45:00.000000,07:45:00.000000,17:30:00.000000
42440,2674,2026-08-15,7050,در اوردن بلبرینگ ,69,29,00:00:00.000000,00:00:00.000000,02:00:00.000000,02:00:00.000000,11:00:00.000000,13:00:00.000000
42441,2675,2026-08-15,7050,در اوردن فولی بستن درب فولی عقب ,69,29,00:00:00.000000,00:00:00.000000,02:00:00.000000,02:00:00.000000,13:00:00.000000,15:00:00.000000
42442,2657,2026-08-15,7050,در اوردن فولی و بستن فولی عقب ,69,29,00:00:00.000000,00:00:00.000000,00:50:00.000000,00:50:00.000000,16:40:00.000000,17:30:00.000000
42443,2586,2026-08-15,2030,اموزش از اقای مرادی جای گذاری رینگ طبق سر های خروجی گروه بندی و جوشکاری اتصالات ,69,29,00:30:00.000000,00:30:00.000000,07:45:00.000000,06:45:00.000000,07:45:00.000000,15:30:00.000000
42444,2607,2026-08-15,7049,ادامه کار پلیسه گیری ,69,29,00:00:00.000000,00:00:00.000000,02:15:00.000000,02:15:00.000000,07:45:00.000000,10:00:00.000000
42445,2614,2026-08-15,7049,تمیز کاری الستوم ,69,29,00:00:00.000000,00:00:00.000000,02:30:00.000000,02:30:00.000000,15:00:00.000000,17:30:00.000000
42446,RE1/2536,2026-08-15,8051,حرارت دادن برش کاری و پلیسه گیری ,69,29,00:30:00.000000,00:30:00.000000,07:45:00.000000,06:45:00.000000,09:15:00.000000,17:00:00.000000
42447,2675,2026-08-15,2033,جای گذاری کلاف و برش عایق روی شیار کونیک کردن و جابجایی ,69,29,00:30:00.000000,00:00:00.000000,06:10:00.000000,05:40:00.000000,07:50:00.000000,14:00:00.000000
42448,2667,2026-08-15,2033,تنظیم دستگاه گیوتین و برش گوه ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,14:00:00.000000,15:00:00.000000
42449,2631,2026-08-15,2033,برش سر سیم جهت جوشکاری با همکاری اقای رحمت الهی ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,16:00:00.000000,17:00:00.000000
42450,2598,2026-08-15,2031,در اوردن شفت از داخل ارمیچر در اوردن رزین جای رایزر ,69,29,00:00:00.000000,00:30:00.000000,07:00:00.000000,06:30:00.000000,10:30:00.000000,17:30:00.000000
42451,2582,2026-08-16,2029,تکمیل پلیسه گیری و رفع اتصال ,69,29,00:00:00.000000,00:00:00.000000,01:15:00.000000,01:15:00.000000,07:45:00.000000,09:00:00.000000
42452,2681,2026-08-16,2029,اماده سازی سر سیم کویل برای جوشکاری 18 عدد ,69,29,00:30:00.000000,00:00:00.000000,03:15:00.000000,02:45:00.000000,09:00:00.000000,12:15:00.000000
42453,2586,2026-08-16,2043,ادامه و تکمیل عایق بندی رینگ ستاره ,69,29,00:30:00.000000,00:00:00.000000,05:10:00.000000,04:40:00.000000,07:50:00.000000,13:00:00.000000
42454,2582,2026-08-16,2045,بستن نوار پنبه ای 4 عدد کویل ,69,29,00:00:00.000000,00:00:00.000000,00:40:00.000000,00:40:00.000000,07:50:00.000000,08:30:00.000000
42455,2582,2026-08-16,2041,پلیسه گیری ورفع اتصال نیمه کاره ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,07:45:00.000000,09:15:00.000000
42456,2582,2026-08-16,8052,پلیسه گیری کویل ادامه کار قبل ,69,29,00:00:00.000000,00:00:00.000000,00:45:00.000000,00:45:00.000000,07:45:00.000000,08:30:00.000000
42457,2679,2026-08-16,2031,در اوردن گوه های ارمیچر جابجایی ارمیچر جهت تخلیه ,69,29,00:00:00.000000,00:00:00.000000,04:30:00.000000,04:30:00.000000,10:30:00.000000,15:00:00.000000
42458,2667,2026-08-16,2033,برش گوه و در اوردن گوه بین شیار و گوه گذاری رزین کاری ,69,29,00:30:00.000000,00:30:00.000000,11:10:00.000000,10:10:00.000000,07:50:00.000000,19:00:00.000000
42459,2675,2026-08-16,2033,رنگ امیزی الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,00:30:00.000000,00:30:00.000000,19:00:00.000000,19:30:00.000000
42460,2653,2026-08-16,2034,دراوردن فولی الکتروموتور و دمونتاژ ,69,29,00:30:00.000000,00:00:00.000000,04:00:00.000000,03:30:00.000000,08:00:00.000000,12:00:00.000000
42461,2675,2026-08-16,2034,جوشگاری برای در اوردن فولی ,69,29,00:00:00.000000,00:00:00.000000,03:30:00.000000,03:30:00.000000,12:00:00.000000,15:30:00.000000
42462,2679,2026-08-16,2037,همکاری با اقای گرزین در تخلیه روتور ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,16:00:00.000000,17:30:00.000000
42463,2675,2026-08-16,3047,تست اهم نخ بندی سر گروه بندی پلی استر کاری دو طرف نصب کابلشو و وارنیش کاری نصب تخته کلم ,69,29,00:30:00.000000,00:00:00.000000,06:45:00.000000,06:15:00.000000,07:45:00.000000,14:30:00.000000
42464,2667,2026-08-16,3047,همکاری با اقای جوان در گوه گذاری ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,16:00:00.000000,17:30:00.000000
42465,2674,2026-08-16,2044,کنترل هم محوری درب کاسه جلو و عقب و شفت جلو وعقب ,69,29,00:00:00.000000,00:00:00.000000,02:20:00.000000,02:20:00.000000,07:40:00.000000,10:00:00.000000
42466,2667,2026-08-16,2044,کنترل هم محوری درب کاسه جلو و عقب و شفت جلو و عقب ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,17:00:00.000000,18:00:00.000000
42467,2675,2026-08-16,7050,در اوردن فولی الکتروموتور و دمونتاژ ,69,29,00:30:00.000000,00:00:00.000000,03:40:00.000000,03:10:00.000000,08:20:00.000000,12:00:00.000000
42468,2607,2026-08-16,7049,تمیز کاری الستوم و اماده سازی جهت تست فوکو ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,08:00:00.000000,09:00:00.000000
42469,2614,2026-08-16,7049,تمیز کاری هسته الستوم ,69,29,00:30:00.000000,00:30:00.000000,06:30:00.000000,05:30:00.000000,09:00:00.000000,15:30:00.000000
42470,2679,2026-08-16,8051,همکاری جهت تخلیه ارمیچر و جابجایی ,69,29,00:30:00.000000,00:00:00.000000,07:00:00.000000,06:30:00.000000,07:30:00.000000,14:30:00.000000
42471,2679,2026-08-16,2048,در اوردن 15 عدد کلاف طبقه رو برش سیمهای انها,69,29,00:00:00.000000,00:30:00.000000,04:50:00.000000,04:20:00.000000,13:40:00.000000,18:30:00.000000
42472,2675,2026-08-12,2033,پلیسه گیری و تورق و گرفتن تست فوکو ,69,29,00:30:00.000000,00:00:00.000000,03:15:00.000000,02:45:00.000000,09:15:00.000000,12:30:00.000000
43308,2582,2026-08-17,2029,عایق بندی 2 عدد کویل پیچیدن گوه به تعداد 40 عدد ,69,29,00:00:00.000000,00:00:00.000000,03:15:00.000000,03:15:00.000000,10:30:00.000000,13:45:00.000000
43309,2582,2026-08-17,2043,عایق بندی فقط نسوز 2 عدد پیچیدن گوه 65 عدد ,69,29,00:00:00.000000,00:00:00.000000,03:15:00.000000,03:15:00.000000,10:30:00.000000,13:45:00.000000
43310,2582,2026-08-17,2045,بستن نوار نسوز 2 عدد ک.یل و پیچیدن 40 عدد گوه ,69,29,00:00:00.000000,00:00:00.000000,03:15:00.000000,03:15:00.000000,10:30:00.000000,13:45:00.000000
43311,2582,2026-08-17,8052,تا کردن عایق و پیچیدن گوه 47 عدد ,69,29,00:30:00.000000,00:00:00.000000,03:45:00.000000,03:15:00.000000,10:00:00.000000,13:45:00.000000
43312,2631,2026-08-17,2033,جوشکاری پل ها و عایق کاری و درست کردن رینگ با همکاری اقای شاهی ,69,29,00:30:00.000000,00:00:00.000000,07:40:00.000000,07:10:00.000000,07:50:00.000000,15:30:00.000000
43313,RE1-2496,2026-08-17,2033,باز کردن پیچ ها جهت سر پا کردن با همکاری اقای شاهی ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,16:00:00.000000,17:30:00.000000
43314,2613,2026-08-17,2037,تمیز کاری استاتور و جابجایی با همکاری اقای مرادی ,69,29,00:30:00.000000,00:00:00.000000,04:30:00.000000,04:00:00.000000,09:00:00.000000,13:30:00.000000
43315,2675,2026-08-17,2037,در اوردن فولی موتور ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,13:30:00.000000,15:00:00.000000
43316,2613,2026-08-17,2039,جابجایی استاتور و تمیز کاری و زدن فلاپی برای تورق هسته ,69,29,00:00:00.000000,00:00:00.000000,04:30:00.000000,04:30:00.000000,10:30:00.000000,15:00:00.000000
