ProjectCode,NameProject,SerialNumber,GhabzExit,FactorNumber,FactorType3,KarshenasiAvalie,ReceiverProject,Description,Id,Employer,DateKhoroj,DateVorod,FileDate,DeliveryDate,DateMovaqatExit,SematId,UserId,DateSabtPoroje,DateNiazMoshtari,IsPoshe,FactorType
1206,ژنراتور 20KW,211402,,,,سیم پیچی,,,207,29,2019-01-27 00:00:00.000,2019-01-15 00:00:00.000,,,,106,28,,,False,0
1207,ژنراتور 20KW,211659,,,,سیم پیچی,,,208,29,2019-01-28 00:00:00.000,2019-01-15 00:00:00.000,,,,106,28,,,False,0
1208,ژنراتور 18KW,212076,,,,سیم پیچی,,,209,29,2019-01-29 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1209,ژنراتور 18KW,212067,,,,سیم پیچی,,,210,29,2019-01-30 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1210,ژنراتور 20KW,211945,,,,سیم پیچی,,,211,29,2019-01-31 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1211,ژنراتور 20KW,211104,,,,سیم پیچی,,,212,29,2019-02-01 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1212,ژنراتور 20KW,211300,,,,سیم پیچی,,,213,29,2019-02-02 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1213,ژنراتور 20KW,211665,,,,سیم پیچی,,,214,29,2019-02-03 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1214,ژنراتور 20KW,211554,,,,سیم پیچی,,,215,29,2019-02-04 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1215,ژنراتور 20KW,211314,,,,سیم پیچی,,,216,29,2019-02-05 00:00:00.000,2019-01-17 00:00:00.000,,,,106,28,,,False,0
1216,ژنراتور 18KW,212511,,,,سیم پیچی,,,217,29,2019-02-06 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1217,ژنراتور 20KW,211452,,,,سیم پیچی,,,218,29,2019-02-07 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1218,ژنراتور 20KW,211473,,,,سیم پیچی,,,219,29,2019-02-08 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1219,ژنراتور 20KW,211143,,,,سیم پیچی,,,220,29,2019-02-09 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1220,ژنراتور 20KW,211186,,,,سیم پیچی,,,221,29,2019-02-10 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1221,ژنراتور 20KW,211332,,,,سیم پیچی,,,222,29,2019-02-11 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1222,ژنراتور 20KW,211019,,,,سیم پیچی,,,223,29,2019-02-12 00:00:00.000,2019-01-30 00:00:00.000,,,,106,28,,,False,0
1223,استاتور 200KW,,,,,اورهال,,,224,35,2019-02-19 00:00:00.000,2019-01-30 00:00:00.000,,,,,,,,False,
1224,ژنراتور 18KW,212191,,,,سیم پیچی,,,225,29,2019-08-16 00:00:00.000,2019-02-12 00:00:00.000,,,,106,28,,,False,0
1225,ژنراتور 20KW,212181,,,,سیم پیچی,,,226,29,2019-08-16 00:00:00.000,2019-02-12 00:00:00.000,,,,106,28,,,False,0
1254,فن 60W 0/35A 220V,,,,,سیم پیچی,,,255,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1255,فن 60W 0/35A 220V,,,,,سیم پیچی,,,256,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
